Drug or Other Substance,CYP Strg INH,CYP Mod INH,CYP WK INH,CYP Strg IND,CYP Mod IND,CYP WK IND,CYP SENS SUB,CYP Mod SENS SUB,TRNSP INH,TRNSP SUB
abiraterone, ,2D6  moderate  inhibitor, , , , , , , , 
acyclovir, , ,1A2  weak  inhibitor, , , , , , , 
adefovir1, , , , , , , , , ,OAT1  substrate
alfentanil, , , , , , ,3A4  sensitive  substrate, , , 
allopurinol, , ,1A2  weak  inhibitor, , , , , , , 
alosetron, , , , , , ,1A2  sensitive  substrate, , , 
alprazolam, , , , , , , ,3A4  moderate sensitive  substrate, , 
amiodarone, ,2C9  moderate  inhibitor,2D6; 3A4  weak  inhibitor, , , , , ,P-gp  inhibitor, 
apalutamide, , , ,3A4  strong  inducer,2C19  moderate  inducer,2C9  weak  inducer, , , , 
aprepitant, , , , , ,2C9  weak  inducer, ,3A4  moderate  sensitive  substrate, , 
aprepitant, ,3A4  moderate  inhibitor, , , , , , , , 
armodafinil, , , , , ,3A4  weak  inducer, , , , 
atazanavir and ritonavir, , , , , , , , ,OATP1B1; OATP1B3  inhibitor, 
atomoxetine, , , , , , ,2D6  sensitive  substrate, , , 
atorvastatin, , , , , , , ,3A4  moderate  substrate, ,OATP1B1; OATP1B3  substrate
avanafil, , , , , , ,3A4  sensitive  substrate, , , 
baricitinib, , , , , , , , , ,OAT3 substrate
bosentan, , , , ,3A4  moderate  inducer, , , , ,OATP1B1; OATP1B3  substrate
budesonide, , , , , , ,3A4  sensitive  substrate, , , 
bumetanide, , , , , , , , , ,OAT3 substrate
bupropion2,2D6  strong  inhibitor, , , , , ,2B6  sensitive  substrate, , , 
buspirone, , , , , , ,3A4  sensitive  substrate, , , 
caffeine, , , , , , ,1A2  sensitive  substrate, , , 
carbamazepine, , , ,2B6; 3A4   strong  inducer, ,2C9  weak  inducer, , , , 
cefaclor, , , , , , , , , ,OAT3  substrate
ceftizoxime, , , , , , , , , ,OAT3  substrate
celecoxib3, , ,2D6  weak  inhibitor, , , ,2C9  sensitive  substrate, , , 
cenobamate4, ,2C19 moderate inhibitor, , ,CYP3A4 moderate inducer b, , , , , 
ceritinib,3A4  strong  inhibitor, ,2C9 weak inhibitor, , , , , , , 
chlorzoxazone, , ,3A4  weak  inhibitor, , , , , , , 
cilostazol, , ,3A4  weak inhibitor, , , , , , , 
cimetidine, , ,3A4; 1A2; 2D6  weak inhibitor, , , , , ,OCT2; MATE1; MATE2-K  inhibitor, 
cinacalcet, ,2D6  moderate inhibitor, , , , , , , , 
ciprofloxacin, ,1A220; 3A4  moderate inhibitor, , , , , , , ,OAT1; OAT3  substrate
clarithromycin,3A4  strong  inhibitor, , , , , , , ,P-gp; OATP1B1; OATP1B3  inhibitor, 
clobazam, , ,2D6  weak  inhibitor, , , , , , , 
clopidogrel, ,2C8  moderate  inhibitor,2B6  weak  inhibitor, , , , , , , 
clotrimazole, , ,3A4  weak  inhibitor, , , , , , , 
clozapine, , , , , , , ,1A2  moderate sensitive substrate, , 
cobicistat,3A4  strong  inhibitor, ,2D6  weak  inhibitor, , , , , ,P-gp inhibitor, 
colchicine, , , , , , , ,3A4  moderate  sensitive  substrate, , 
conivaptan, ,3A4  moderate  inhibitor5, , , , ,3A4  sensitive  substrate, , , 
crizotinib, ,3A4  moderate  inhibitor, , , , , , , , 
curcumin, , , , , , , , ,BCRP  inhibitor, 
cyclosporine, , ,3A4  weak  inhibitor, , , , , ,P-gp; BCRP; OATP1B1; OATP1B3  inhibitor, 
dabigatran etexilate, , , , , , , , , ,P-gp  substrate
dabrafenib, , , , ,3A4 moderate inducer,2C9  weak  inducer, , , , 
darifenacin, , , , , , ,3A4  sensitive  substrate, , , 
darolutamide, , , , , , , , ,BCRP; OATP1B1; OATP1B3  inhibitor, 
darunavir6, , , , , , ,3A4  sensitive  substrate, , , 
dasatinib, , , , , , ,3A4  sensitive  substrate, , , 
deferasirox, ,2C8  moderate  inhibitor, , , , , , , , 
desipramine, , , , , , ,2D6  sensitive  substrate, , , 
dextromethorphan, , , , , , ,2D6  sensitive  substrate, , , 
diazepam, , , , , , , ,2C19  moderate sensitive  substrate, , 
digoxin, , , , , , , , , ,P-gp  substrate
diltiazem7, ,3A4  moderate  inhibitor, , , , , , , , 
diosmin, , ,2C9  weak  inhibitor, , , , , , , 
disulfiram, , ,2C9  weak  inhibitor, , , , , , , 
docetaxel, , , , , , , , , ,OATP1B1; OATP1B3  substrate
dolutegravir, , , , , , , , ,OCT2 inhibitor, 
dronedarone, ,3A4  moderate  inhibitor, , , , ,3A4  sensitive  substrate, ,P-gp  inhibitor, 
duloxetine, ,2D6  moderate  inhibitor, , , , ,1A2  sensitive  substrate, , , 
edoxaban, , , , , , , , , ,P-gp  substrate
efavirenz, , , , ,3A4; 2B6; 2C19  moderate  inducer, , ,2B6  moderate sensitive  substrate, , 
elagolix, , , , , ,3A4  weak  inducer, , , , OATP1B1; OATP1B3  substrate
eletriptan, , , , , , ,3A4  sensitive  substrate, , , 
eliglustat, , , , , , ,2D6  sensitive  substrate,3A4  moderate sensitive  substrate, , 
eltrombopag, , , , , , , , ,BCRP; OATP1B1; OATP1B3  inhibitor, 
elvitegravir and ritonavir,3A4  strong  inhibitor, , , , , , , , , 
enzalutamide, , , ,3A4  strong  inducer,2C9; 2C19  moderate  inducer, , , , , 
eplerenone, , , , , , ,3A4  sensitive  substrate, , , 
erythromycin, ,3A4  moderate  inhibitor, , , , , , ,P-gp inhibitor, 
escitalopram, , ,2D6  weak  inhibitor, , , , , , , 
etravirine, , , , ,3A4  moderate  inducer, , , , , 
everolimus, , , , , , ,3A4  sensitive  substrate, , , 
famotidine, , , , , , , , , ,OAT3  substrate
febuxostat, , , , , , , , ,BCRP inhibitor, 
felbamate, ,2C19  moderate  inhibitor, , , , , , , , 
felodipine, , , , , , ,3A4  sensitive  substrate, , , 
fexofenadine, , , , , , , , , ,OATP1B1; OATP1B3; P-gp  substrate
fluconazole,2C19  strong  inhibitor,3A4; 2C9  moderate  inhibitor, , , , , , , , 
fluoxetine,2C19; 2D6  strong  inhibitor, , , , , , , , , 
fluvastatin, , ,2C9  weak  inhibitor, , , , , , , 
fluvoxamine8,1A2; 2C19  strong  inhibitor, ,3A4; 2C9; 2D6  weak  inhibitor, , , , , , , 
fosaprepitant, , ,3A4  weak  inhibitor, , , , , , , 
fostamatinib, , , , , , , , ,BCRP inhibitor, 
furosemide, , , , , , , , , ,OAT1; OAT3  substrate
gemfibrozil,2C8  strong  inhibitor, , , , , , , ,OAT3; OATP1B1; OATP1B3  inhibitor, 
glimepiride, , , , , , , ,2C9  moderate sensitive substrate, , 
glyburide, , , , , , , , , ,OATP1B1; OATP1B3  substrate
